bin,promised,realized,true_cut,t,setting,seed,p,K
3,0.315513,0.294158,0.314407,1,baseline,1,1,5
4,0.377221,0.326999,0.368213,1,baseline,1,1,5
0,0.100662,0.130185,0.138487,10,baseline,1,1,5
1,0.197402,0.216232,0.194993,10,baseline,1,1,5
2,0.260117,0.295012,0.250195,10,baseline,1,1,5
3,0.315513,0.336945,0.314407,10,baseline,1,1,5
4,0.377221,0.36142,0.368213,10,baseline,1,1,5
0,0.124422,0.116416,0.131126,1,baseline,2,0.1,1
1,0.217473,0.202835,0.208088,1,baseline,2,0.1,1
2,0.279432,0.264412,0.259035,1,baseline,2,0.1,1
3,0.326402,0.285787,0.308126,1,baseline,2,0.1,1
4,0.37546,0.299603,0.346179,1,baseline,2,0.1,1
0,0.124422,0.0665116,0.131126,10,baseline,2,0.1,1
1,0.217473,0.156312,0.208088,10,baseline,2,0.1,1
2,0.279432,0.217065,0.259035,10,baseline,2,0.1,1
3,0.326402,0.233691,0.308126,10,baseline,2,0.1,1
4,0.37546,0.248498,0.346179,10,baseline,2,0.1,1
0,0.124422,0.116416,0.131126,1,baseline,2,0.1,3
1,0.217473,0.202835,0.208088,1,baseline,2,0.1,3
2,0.279432,0.264412,0.259035,1,baseline,2,0.1,3
3,0.326402,0.285787,0.308126,1,baseline,2,0.1,3
4,0.37546,0.299603,0.346179,1,baseline,2,0.1,3
0,0.124422,0.0904332,0.131126,10,baseline,2,0.1,3
1,0.217473,0.17545,0.208088,10,baseline,2,0.1,3
2,0.279432,0.23602,0.259035,10,baseline,2,0.1,3
3,0.326402,0.253207,0.308126,10,baseline,2,0.1,3
4,0.37546,0.267497,0.346179,10,baseline,2,0.1,3
0,0.124422,0.116416,0.131126,1,baseline,2,0.1,5
1,0.217473,0.202835,0.208088,1,baseline,2,0.1,5
2,0.279432,0.264412,0.259035,1,baseline,2,0.1,5
3,0.326402,0.285787,0.308126,1,baseline,2,0.1,5
4,0.37546,0.299603,0.346179,1,baseline,2,0.1,5
0,0.124422,0.106552,0.131126,10,baseline,2,0.1,5
1,0.217473,0.189692,0.208088,10,baseline,2,0.1,5
2,0.279432,0.248958,0.259035,10,baseline,2,0.1,5
3,0.326402,0.263416,0.308126,10,baseline,2,0.1,5
4,0.37546,0.275694,0.346179,10,baseline,2,0.1,5
0,0.124038,0.116852,0.134016,1,baseline,2,0.25,1
1,0.217876,0.205285,0.207951,1,baseline,2,0.25,1
2,0.278936,0.262767,0.259654,1,baseline,2,0.25,1
3,0.324224,0.292806,0.311754,1,baseline,2,0.25,1
4,0.379691,0.307102,0.332929,1,baseline,2,0.25,1
0,0.124038,0.0703354,0.134016,10,baseline,2,0.25,1
1,0.217876,0.147172,0.207951,10,baseline,2,0.25,1
2,0.278936,0.201661,0.259654,10,baseline,2,0.25,1
3,0.324224,0.21845,0.311754,10,baseline,2,0.25,1
4,0.379691,0.234851,0.332929,10,baseline,2,0.25,1
0,0.124038,0.116852,0.134016,1,baseline,2,0.25,3
1,0.217876,0.205285,0.207951,1,baseline,2,0.25,3
2,0.278936,0.262767,0.259654,1,baseline,2,0.25,3
3,0.324224,0.292806,0.311754,1,baseline,2,0.25,3
4,0.379691,0.307102,0.332929,1,baseline,2,0.25,3
0,0.124038,0.0895402,0.134016,10,baseline,2,0.25,3
1,0.217876,0.168028,0.207951,10,baseline,2,0.25,3
2,0.278936,0.222366,0.259654,10,baseline,2,0.25,3
3,0.324224,0.243923,0.311754,10,baseline,2,0.25,3
4,0.379691,0.26011,0.332929,10,baseline,2,0.25,3
0,0.124038,0.116852,0.134016,1,baseline,2,0.25,5
1,0.217876,0.205285,0.207951,1,baseline,2,0.25,5
2,0.278936,0.262767,0.259654,1,baseline,2,0.25,5
3,0.324224,0.292806,0.311754,1,baseline,2,0.25,5
4,0.379691,0.307102,0.332929,1,baseline,2,0.25,5
0,0.124038,0.106128,0.134016,10,baseline,2,0.25,5
1,0.217876,0.184562,0.207951,10,baseline,2,0.25,5
2,0.278936,0.235168,0.259654,10,baseline,2,0.25,5
3,0.324224,0.255137,0.311754,10,baseline,2,0.25,5
4,0.379691,0.268141,0.332929,10,baseline,2,0.25,5
0,0.12596,0.116752,0.13515,1,baseline,2,0.5,1
1,0.220821,0.20333,0.211166,1,baseline,2,0.5,1
2,0.279094,0.264836,0.264856,1,baseline,2,0.5,1
3,0.326772,0.289818,0.309425,1,baseline,2,0.5,1
4,0.385147,0.307417,0.335537,1,baseline,2,0.5,1
0,0.12596,0.0906224,0.13515,10,baseline,2,0.5,1
1,0.220821,0.155412,0.211166,10,baseline,2,0.5,1
2,0.279094,0.202165,0.264856,10,baseline,2,0.5,1
3,0.326772,0.211731,0.309425,10,baseline,2,0.5,1
4,0.385147,0.221623,0.335537,10,baseline,2,0.5,1
0,0.12596,0.116752,0.13515,1,baseline,2,0.5,3
1,0.220821,0.20333,0.211166,1,baseline,2,0.5,3
2,0.279094,0.264836,0.264856,1,baseline,2,0.5,3
3,0.326772,0.289818,0.309425,1,baseline,2,0.5,3
4,0.385147,0.307417,0.335537,1,baseline,2,0.5,3
0,0.12596,0.11207,0.13515,10,baseline,2,0.5,3
1,0.220821,0.176425,0.211166,10,baseline,2,0.5,3
2,0.279094,0.220211,0.264856,10,baseline,2,0.5,3
3,0.326772,0.231743,0.309425,10,baseline,2,0.5,3
4,0.385147,0.240976,0.335537,10,baseline,2,0.5,3
0,0.12596,0.116752,0.13515,1,baseline,2,0.5,5
1,0.220821,0.20333,0.211166,1,baseline,2,0.5,5
2,0.279094,0.264836,0.264856,1,baseline,2,0.5,5
