seed,cap,weight,proxy_share_of_promises,bundle_promised_%,bundle_true_%,promised_staff_training_score,true_staff_training_score,promised_security_staff,true_security_staff,promised_incident_response_time,true_incident_response_time,promised_camera_coverage,true_camera_coverage,promised_license_compliance,true_license_compliance,promised_late_night_hours,true_late_night_hours,causal_promised_sum,causal_true_sum
3,0.15,0.4,0.2797648824820303,24.115734955384017,31.27127599040748,5.909924308338694,13.022924852556258,3.894771834049732,8.427556136081641,2.5643672042429357,8.059538611894256,3.293639280512353,0.0,4.195309832660422,0.0,6.9107122161880365,6.7067715584749985,19.2797755628194,36.21679115900715
4,0.15,0.4,0.16770147032334373,27.573680559824297,31.763492776203577,6.902630910366188,13.032268419014997,3.9535587698657073,8.83945729761713,4.060531757216201,8.252046104128024,2.1216888010247437,0.0,3.1871527212989283,0.0,11.430936605126146,6.687954358562104,26.347658042574242,36.81172617932226
5,0.15,0.4,0.23684610588535093,27.773308116232485,31.203715693581934,4.318715014909424,12.53952159869538,3.7985272950399813,8.914864328387878,3.211726978406726,7.996450141168293,4.976776431521772,0.0,2.316324213129287,0.0,12.170501544530199,6.658757711668696,23.49947083288633,36.109593779920246
6,0.15,0.4,0.17606472799265296,28.531028652572076,31.142227710920807,8.003742401565171,12.997355875091909,3.5165136962305112,8.410376144020672,2.9528966937558945,7.904813982910926,3.038111847780863,0.0,2.702415761622188,0.0,12.39096264624673,6.642054786606383,26.864115437798308,35.95460078862989
7,0.15,0.4,0.16976726064142625,26.0457375208137,31.619302563953216,6.767553394939566,12.882967469968321,3.984749747304022,8.869952138455346,3.1201588755398917,8.227521334613124,3.4890764632591242,0.0,1.5534098821562583,0.0,10.78740017186919,6.687762175051856,24.65986218965267,36.66820311808865
8,0.15,0.4,0.16531085670478357,30.096180374853247,31.53937324005096,6.457939546025434,12.977376712010722,3.5286384995050755,8.623364272096042,3.476388208608487,8.243614937012694,3.3373041261199186,0.0,2.3260230693082713,0.0,15.13235905709732,6.713883373305589,28.595325311236316,36.55823929442505
9,0.15,0.4,0.18955482650661215,27.710888235318087,31.47494987301767,6.500811142184226,12.952339324589627,4.207403023823907,8.586017390335375,3.137154692065585,8.126628404728834,3.34617980755945,0.0,2.6419378416552126,0.0,11.756939120865077,6.75142180949518,25.602307978938796,36.41640692914901
10,0.15,0.4,0.2483336244899071,26.271446780455456,31.478617565761404,7.139466959959533,12.969303748311617,2.9520059842289457,8.715419963446767,1.9908517813959983,8.06697834219501,4.351876216663116,0.0,2.81945546548143,0.0,9.624155434605711,6.696776734752831,21.70648016019019,36.448478788706225
11,0.15,0.4,0.19563368842616452,25.37950658394853,31.140749382544175,7.685313615756881,12.790341929220043,2.970961196588981,8.525721449678358,3.1393302840408017,7.958388954328275,3.601762817050569,0.0,2.129743955097677,0.0,9.770024111761312,6.701485871348542,23.565629208147975,35.975938204575215
12,0.15,0.4,0.34550347188544106,25.44496665298624,31.793871931656316,5.655116834598445,12.909527132198354,3.221217911591549,8.91483950183475,3.3136646655928983,8.289744409336055,8.052609543580711,0.0,1.9434408436323218,0.0,6.745787941052706,6.747904466900858,18.935787352835597,36.86201551027002
13,0.15,0.4,0.23275875813366742,23.61963833053214,31.627654245358066,5.236682156752445,12.967283462988147,3.5728390391164893,8.921402790720846,3.4007143644854967,8.109774303225763,3.413554260333989,0.0,2.4895161120769393,0.0,7.248018469132961,6.656047539817419,19.458254029487392,36.654508096752174
14,0.15,0.4,0.31508608926880977,22.21153054277502,31.458518018232322,6.982549823938763,13.00039059154932,2.2842475654800234,8.511412345467376,3.2305510059558347,8.10884453332971,4.014051028421674,0.0,3.6879370970477243,0.0,4.24473888515904,6.759379231770864,16.742087280533664,36.38002670211727
15,0.15,0.4,0.22733270096960473,28.108642958122775,31.700698141786347,6.887181594139144,12.673029015172716,2.9859016477144005,8.871000075622275,3.2533346409994293,8.565033665318325,5.5985395606120765,0.0,1.6503308139730757,0.0,11.511327014661925,6.662486584243214,24.6377448975149,36.77154934035653
16,0.15,0.4,0.2056618791206596,26.75910301616699,31.474131047942066,7.026653608539384,12.922449691480017,2.5530646912398995,8.596449755116451,2.974097503017759,8.197683028437247,2.9831096792226672,0.0,3.2443931470438314,0.0,11.498978589328056,6.7163435784746195,24.0527943921251,36.43292605350833
17,0.15,0.4,0.14307831066514545,31.28888388737685,31.24290039206344,8.167735424134962,12.964942906033702,3.047336943820119,8.469462422423456,4.083459975540993,8.015574333038462,2.843743641783197,0.0,2.19288599784589,0.0,14.866746791270463,6.680496613413068,30.165279134766536,36.13047627490869
18,0.15,0.4,0.22238189970834632,24.716491545865917,31.10513979614118,5.289539662371735,12.569993783374159,4.69644884797686,8.915000135459863,2.422732979517053,7.774838612944151,2.9502333401975904,0.0,2.999651213518962,0.0,8.396649494390186,6.707175271965446,20.805370984255834,35.96700780374362
19,0.15,0.4,0.20459896335004774,24.297962982411452,31.466009000419916,6.332636578829468,12.985980893571542,1.8940965885533485,8.491347605651123,3.7036121372991193,8.216682080242228,2.5828235044888,0.0,2.7648476931039525,0.0,8.859316307390817,6.698026055688371,20.789661612072752,36.39203663515327
0,0.15,0.6,0.2696381051045054,24.426713136034632,31.05138189464333,6.701238278402342,12.64110075787629,4.914414830889706,8.429394540559771,2.9318257561377856,8.080076862405766,3.499476264842057,0.0,4.0489053239654575,0.0,5.898630850624548,6.766375736495306,20.44610971605438,35.91694789733713
1,0.15,0.6,0.26220201958820416,23.30790123726673,31.67313916955515,7.7255072527325055,13.238513137617009,2.3329395103912742,8.637156142468463,2.7317334680957117,8.05549535449991,4.160320634223836,0.0,2.4193841709639585,0.0,5.724142902513287,6.716977912177365,18.514323133732777,36.64814254676275
2,0.15,0.6,0.2472883349478457,25.737241513333636,31.364100626813617,6.956871029328074,12.887199537271515,3.9611982969544925,8.433713564306737,2.0794829458842776,8.298588845102117,2.613783521234798,0.0,4.577081928465081,0.0,8.890452703689208,6.6956811606254885,21.888004975856052,36.315183107305856
3,0.15,0.6,0.27455257860516713,24.289434235909166,31.27127599040748,6.46437907259903,13.022924852556258,3.9074312878874307,8.427556136081641,2.613764811842399,8.059538611894256,3.43399728588619,0.0,4.119939221980817,0.0,6.97411265450867,6.7067715584749985,19.95968782683753,36.21679115900715
4,0.15,0.6,0.1772866299627851,27.83036513416076,31.763492776203577,7.489257339690912,13.032268419014997,4.031520042098811,8.83945729761713,3.921519050760483,8.252046104128024,2.3235029676799215,0.0,3.458796043144325,0.0,11.390943653048277,6.687954358562104,26.833240085598483,36.81172617932226
5,0.15,0.6,0.250087535189039,28.108741766454337,31.203715693581934,4.566849583025389,12.53952159869538,3.666818450482913,8.914864328387878,3.222242331146042,7.996450141168293,5.392312587207738,0.0,2.4744534576221415,0.0,12.133373724655646,6.658757711668696,23.58928408930999,36.109593779920246
6,0.15,0.6,0.17863457134282537,28.960956572507012,31.142227710920807,8.22618051564305,12.997355875091909,3.7314224009493087,8.410376144020672,3.290337969529309,7.904813982910926,3.301668722052203,0.0,2.7202226345798026,0.0,12.440839277123253,6.642054786606383,27.68878016324492,35.95460078862989
7,0.15,0.6,0.17788468550976794,26.95820890224655,31.619302563953216,7.501734779617272,12.882967469968321,3.8652505900037797,8.869952138455346,3.1046906561042342,8.227521334613124,3.688533531822804,0.0,1.7872013666527145,0.0,10.835086640351138,6.687762175051856,25.306762666076423,36.66820311808865
8,0.15,0.6,0.17070572855168933,30.6311836210078,31.53937324005096,6.803956009622891,12.977376712010722,3.624990195999177,8.623364272096042,3.5369731272145626,8.243614937012694,3.6778306851519433,0.0,2.3146209135619986,0.0,15.145615616267236,6.713883373305589,29.111534949103866,36.55823929442505
9,0.15,0.6,0.1903096561408084,28.67268448233759,31.47494987301767,7.069363400844917,12.952339324589627,4.887628712330427,8.586017390335375,3.172965825217168,8.126628404728834,3.55703291334925,0.0,2.777148985752137,0.0,11.819415119984368,6.75142180949518,26.949373058376878,36.41640692914901
10,0.15,0.6,0.25716612162568997,26.994486068980343,31.478617565761404,7.405030453734948,12.969303748311617,3.0225348934976313,8.715419963446767,1.9678722677189127,8.06697834219501,4.679291374738628,0.0,2.950635242546391,0.0,9.643888346804665,6.696776734752831,22.03932596175616,36.448478788706225
11,0.15,0.6,0.19399985384363477,25.693375568623132,31.140749382544175,8.286976951771456,12.790341929220043,3.1176059106132303,8.525721449678358,3.160152512681059,7.958388954328275,3.6817082922619253,0.0,2.160264350442044,0.0,9.706575713941964,6.701485871348542,24.27131108900771,35.975938204575215
12,0.15,0.6,0.34755193460390554,25.766225829009358,31.793871931656316,5.918838311033545,12.909527132198354,3.3651010229630316,8.91483950183475,3.2655159402039544,8.289744409336055,8.339267244674891,0.0,1.9371355539617192,0.0,6.742105087397646,6.747904466900858,19.291560361598176,36.86201551027002
13,0.15,0.6,0.2338116973957786,24.10831232968284,31.627654245358066,5.539593165542501,12.967283462988147,3.7962340156060135,8.921402790720846,3.5296229609233905,8.109774303225763,3.6346946740641615,0.0,2.4971551927525177,0.0,7.228290648524731,6.656047539817419,20.093740790596634,36.654508096752174
14,0.15,0.6,0.3185103680113371,22.599731902805058,31.458518018232322,7.234315403832178,13.00039059154932,2.204470980824766,8.511412345467376,3.195007869509231,8.10884453332971,4.1995912487936415,0.0,3.713925347883487,0.0,4.298086321268388,6.759379231770864,16.931880575434562,36.38002670211727
