seed,cap,weight,setting,p,kept_t1,kept_t10,gap_proxy_heavy_t1,gap_proxy_heavy_t10,gap_causal_only_t1,share_proxy_heavy,noncausal_t1,noncausal_t10,camera_coef_t10,peak_lr,at_cap_t1
12,0.15,0.2,camera=0.3,0.5,0.8116586366316617,0.6133740083526492,-3.1092706536379486,-6.07538423396695,-14.728941294844224,0.06652806652806653,0.08162144042379213,0.1353600962743675,-0.27362948058819186,0.8320539636781558,0.2822245322245322
13,0.15,0.2,baseline,0.25,0.8977142062861811,1.0497390192269869,2.375385738603829,5.104418018089085,-16.342896559992283,0.06231454005934718,0.1940386623983,0.19123772163589917,-0.6010203418634877,0.7791942759939221,0.1641938674579624
13,0.15,0.2,baseline,0.5,0.8889985044508012,1.0061111369750797,2.079068158039931,4.587001548290364,-16.214828004805412,0.07027818448023426,0.1940386623983,0.20734691016933202,-0.6903839356582805,0.8215834689744024,0.148365056124939
13,0.15,0.2,baseline,1.0,0.89028015524752,1.2630195299581939,2.522732992488614,6.699367622592027,-16.22804189378101,0.07435317759356945,0.1940386623983,0.12904150644224777,-0.6178212917574079,0.9643038806527191,0.1426777191660387
13,0.15,0.2,camera=0.1,0.5,0.8775157908727192,1.1121636514498228,-1.72587799879956,1.7448027211388113,-16.270225500603093,0.07980535279805352,0.12159176538923404,0.12863585901277014,-0.7702133307410308,0.8212906561586695,0.17420924574209246
13,0.15,0.2,camera=0.3,0.5,0.8792645072621623,1.060193749151409,-3.8196960303258156,-2.299382067283775,-15.516502656143299,0.08369829683698297,0.06727505937685181,0.0554356088705444,-0.597202885320184,0.8273731318618767,0.20924574209245742
14,0.15,0.2,baseline,0.25,0.7900773090283352,0.9484795305094794,-1.4076955251751158,-1.7493687190305922,-17.535833797935595,0.16971544715447154,0.27479426161083553,0.17791103818630344,-0.33504328764703306,0.7946143441624368,0.20934959349593496
14,0.15,0.2,baseline,0.5,0.7869231902205058,0.9794674481760945,-2.3226374714086204,-3.3102340676193194,-17.227742014717702,0.17353689567430025,0.27479426161083553,0.16166394415647328,-0.28144484026384975,0.8502465283216258,0.20254452926208652
14,0.15,0.2,baseline,1.0,0.7862757125407202,1.2814751361028276,-2.4735578575608637,2.067832684658135,-16.973822171093516,0.17650012553351746,0.27479426161083553,0.16671856968901885,-0.7571041019573903,1.0531441006383997,0.20788350489580718
14,0.15,0.2,camera=0.1,0.5,0.7759990765694275,0.9971784471279985,-4.327127755544386,-5.112722833396339,-16.79538219075986,0.18870803662258392,0.19251631278333103,0.09290431921815834,-0.4230294543517203,0.851745692253928,0.23855544252288913
14,0.15,0.2,camera=0.3,0.5,0.7777774254604234,0.9647958879480381,-8.35548370817784,-9.166986947223286,-17.065374695074286,0.20642201834862386,0.13445317268475546,0.10018269701904384,-0.44083074681886997,0.8429116475107395,0.254841997961264
15,0.15,0.2,baseline,0.25,0.8884128230269692,0.7657319236162708,3.122584015433439,2.2235476203821025,-12.061111653828615,0.054187192118226604,0.14747607324452788,0.16064719158227964,-0.43616449831530685,0.7655774575512214,0.20492610837438424
15,0.15,0.2,baseline,0.5,0.888002804016778,0.7433925980893649,4.1658188140910175,3.1810642352879137,-11.793468684257261,0.05731523378582202,0.14747607324452788,0.16242013907040906,-0.35046269402403507,0.8229061204971646,0.20311714429361488
15,0.15,0.2,baseline,1.0,0.8872936511559165,0.9467975699560064,3.8892537879638422,4.7514995514498874,-11.78110877446593,0.05874968616620638,0.14747607324452788,0.099726036787128,-0.2817457050100947,1.031934749754962,0.1983429575696711
15,0.15,0.2,camera=0.1,0.5,0.8931024951424005,0.7235638587639608,2.81793188207407,1.1500538442480306,-11.215259071902475,0.06281407035175879,0.09499168866319288,0.10026120840282587,-0.410475164537144,0.8285846761506919,0.20804020100502513
15,0.15,0.2,camera=0.3,0.5,0.8898558704532454,0.719525274030415,1.0134650444005713,-0.9641615543060595,-10.825158006908104,0.055750878955298844,0.008241513126957074,0.0910854282524689,-0.42592037132345084,0.8202652266927207,0.22852837769964843
16,0.15,0.2,baseline,0.25,0.90583745549896,0.6964552712302023,9.342659151545616,3.264327868416486,-10.584237131152685,0.06592292089249494,0.171191816141727,0.14795691089383373,-0.27751705206590693,0.7956255541121418,0.2281947261663286
16,0.15,0.2,baseline,0.5,0.9105896194464695,0.6379225437683621,9.85195587188418,2.7864002365872933,-10.566043176950075,0.056795131845841784,0.171191816141727,0.17101103435375975,-0.37346516022746484,0.861745658998923,0.21703853955375255
16,0.15,0.2,baseline,1.0,0.9115439252575717,0.8799708283672684,9.438934235099131,6.58574917607517,-10.431326893594807,0.05393878575012544,0.171191816141727,0.13239633094739428,-0.5514398177930613,1.082875026627117,0.2227797290516809
